name,mapping_from,tool_full_name,Interesting_concepts_thesis,status,Status comment,tool_source,homepage_url,repo_url,publication_url,"tool_origin",company_url,Short Description,type,domain,open_source,license
AiiDA,,Automated Interactive Infrastructure and Database for Computational Science,yes,Active,,Existing Workflow systems,https://www.aiida.net/,https://github.com/aiidateam/aiida-core,https://doi.org/10.1016/j.commatsci.2015.09.013,Academia,,"AiiDA (www.aiida.net) is a workflow manager for computational science with a strong focus on provenance, performance and extensibility.","Workflow, data provenance, HPC interface, Plugin interface, open science",workflow manager for computational science,yes,
reflow,,,yes,Active,,Existing Workflow systems,,https://github.com/grailbio/reflow,,Enterprise,https://grail.com/,"Reflow is a system for incremental data processing in the cloud. Reflow enables scientists and engineers to compose existing tools (packaged in Docker images) using ordinary programming constructs. Reflow then evaluates these programs in a cloud environment, transparently parallelizing work and memoizing results. Reflow was created at GRAIL to manage our NGS (next generation sequencing) bioinformatics workloads on AWS, but has also been used for many other applications, including model training and ad-hoc data analyses.","pipeline, data-science, data processing",data processing ,yes,
Resolwe,,,no,Active,,Existing Workflow systems,,https://github.com/genialis/resolwe,,Enterprise,https://www.genialis.com/,"Resolwe is an open source dataflow package for Django framework. We envision
Resolwe to follow the Common Workflow Language specification, but the
current implementation does not yet fully support it. Resolwe offers a complete
RESTful API to connect with external resources. A collection of bioinformatics
pipelines is available in Resolwe Bioinformatics.",CWL,dataflow engine,yes,
Yahoo! Pipes,,,no,Retired,,Existing Workflow systems,https://en.wikipedia.org/wiki/Yahoo!_Pipes,,,Enterprise,https://yahoo.com,,"web application, GUI, data mashups",data mashup apps,no,
walrus,,,no,Active,,Existing Workflow systems,,https://github.com/fjukstad/walrus,,Personal,,"walrus is a small tool for executing data analysis pipelines using Docker
containers. It is very simple: walrus reads a pipeline description from either a
JSON or YAML file and starts Docker containers as described in this file. We
have used walrus to develop analysis pipelines for analyzing whome-exome as well
as RNA sequencing datasets.","docker, pipeline, reprouduciblity",data analysis pipeline,yes,
Apache Beam,,,yes,Active,,Existing Workflow systems,https://beam.apache.org/,https://github.com/apache/beam,,Enterprise,https://opensource.google/projects/apachebeam,"Apache Beam is a unified model for defining both batch and streaming data-parallel processing pipelines, as well as a set of language-specific SDKs for constructing pipelines and Runners for executing them on distributed processing backends, including Apache Flink, Apache Spark, Google Cloud Dataflow, and Hazelcast Jet.","big data, pipeline, stream, batch",data processing,yes,
Closha,,,no,retired,Platform URL: Bad Gateeways,Existing Workflow systems,https://closha.kobic.re.kr/,,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-018-2019-3,Academia,,"a cloud-based workflow management system, Closha, to provide fast and cost-effective analysis of massive genomic data. We implemented complex workflows making optimal use of high-performance computing clusters. Closha allows users to create multi-step analyses using drag and drop functionality and to modify the parameters of pipeline tools. Users can also import the Galaxy pipelines into Closha. Closha is a hybrid system that enables users to use both analysis programs providing traditional tools and MapReduce-based big data analysis programs simultaneously in a single pipeline.",cloud-based workflow management system,"genomic, NGS",?,
WopMars,,Workflow Python Manager for Reproducible Science,maybe,Active,,Existing Workflow systems,wopmars.readthedocs.org,https://github.com/aitgon/wopmars,,Personal,,WopMars is a database-driven workflow manager written in python similar to GNU Makefile or Snakemake. The difference is that the definition file of WopMars takes into account input/output SQLITE table defined as python paths to SQLAlchemy model,"workflow management, database, reproducible, science",workflow manager for computational science,yes,
flowing-clj,,,no,Inactive,,Existing Workflow systems,,https://github.com/stain/flowing-clj,,Personal,,A Clojure library for building data-driven workflows (dataflows).,workflow,workflows,yes,
Plumbing,Plumbing and Graph,,no,Active,,Existing Workflow systems,,https://github.com/plumatic/plumbing,,Community?,,"Graph is a simple and declarative way to specify a structured computation, which is easy to analyze, change, compose, and monitor. Here's a simple example of an ordinary function definition, and its Graph equivalent:",,graph,yes,
Labview,,commercial,no,Active,,Existing Workflow systems,https://www.ni.com/en-us/shop/labview.html,,,Enterprise,,"LabVIEW is a graphical programming environment engineers use to develop automated research, validation, and production test systems.",,,no,
MyOpenLab,,,,Retired,"Certificate exipered, spanish",Existing Workflow systems,https://myopenlab.org/inicio/,,,,,,,,no,
Max,Max/MSP,commercial,,Active,,Existing Workflow systems,https://cycling74.com/products/max,,,Enterprise,,Music PIpeline Studio: Max is an infinitely flexible space to create your own interactive software.,,music,no,
NoFlo,,,no,Active,,Existing Workflow systems,https://noflojs.org/,https://github.com/noflo/noflo,,Kickstarter,https://noflojs.org/kickstarter/,Flow-Based Programming for JavaScript,"JavaScript, flow-based programming","JavaScript, flow-based programming",yes,
Flowstone,,commercial,no,Active,,Existing Workflow systems,http://www.dsprobotics.com/flowstone.html,,,Enterprise,,FlowStone uses a combination of graphical and text based programming. Applications are programmed by linking together functional building blocks called components. Events and data then flow between the links as the application executes.,"home automation, camera, devices",robotics,no,
HyperLoom,,,no,Inactive (2018),,Existing Workflow systems,https://loom-it4i.readthedocs.io/en/latest/intro.html,https://code.it4i.cz/ADAS/loom,https://doi.org/10.1145/3183767.3183768,Academia,,"HyperLoom is a platform for defining and executing workflow pipelines in a
distributed environment. HyperLoom aims to be a highly scalable framework
that is able to efficiently execute millions of interconnected tasks on hundreds of computational nodes.","distributed computing, DAG","workflow pipelines, distributed computing",yes,
Dask,,,no,Active,,Existing Workflow systems,https://github.com/dask/dask,https://github.com/dask/dask,,Personal,https://en.wikipedia.org/wiki/Dask_(software),"Python has grown to become the dominant language both in data analytics and general programming. This growth has been fueled by computational libraries like NumPy, pandas, and scikit-learn. However, these packages weren’t designed to scale beyond a single machine. Dask was developed to natively scale these packages and the surrounding ecosystem to multi-core machines and distributed clusters when datasets exceed memory.","Python, scale, parallel, deploy, local, gloud",data analytics,yes,
Stimela,,,no,Active,,Existing Workflow systems,,https://github.com/ratt-ru/Stimela,https://www.semanticscholar.org/paper/Advanced-radio-interferometric-simulation-and-data-Makhathini/cf1f524c876730e6037682cc23e94c3d9d096171,Academia,,A containerized radio interferometry scripting framework,container,astronomy,yes,
JTracker,,,no,Inactive,Certificate of platform expired,Existing Workflow systems,https://jtracker.io/,https://github.com/jtracker-io/jt-cli,,,,"JTracker is a scientific workflow management system. It provides workflow authoring, sharing and execution with full provenance tracking. JTracker system is designed as client-server architecture for distributed compute environments. All jobs are centrally managed by a JTracker server, JTracker executors (the clients) request jobs/tasks from the server and execute them on compute nodes the executors reside.","scienific workflow managment system, authoring, sharing, provenance",scientific workflow management system,yes,
PipelineDog,,,no,Inactive,,Existing Workflow systems,http://pipeline.dog/,https://github.com/zhouanbo/pipelinedog-web,https://doi.org/10.1093/bioinformatics/btx759,Academia,,,"GUI pipeline, expressions, YAML",scientific pipelines,yes,
DALiuGE,,,no,Active,,Existing Workflow systems,https://daliuge.readthedocs.io/en/latest/,https://github.com/ICRAR/daliuge,https://arxiv.org/abs/1702.07617,Academia,,"DALiuGE is a workflow graph development, management and execution framework, specifically designed to support very large scale processing graphs for the reduction of interferometric radio astronomy data sets. DALiuGE has already been used for processing large astronomical datasets in existing radio astronomy projects. It originated from a prototyping activity as part of the SDP Consortium called Data Flow Management System (DFMS). DFMS aimed to prototype the execution framework of the proposed SDP architecture.","workflow graph development, big data",astronomy,yes,
Overseer,,,no,Inactive,,Existing Workflow systems,,https://github.com/framed-data/overseer,,Enterprise,http://framed.io/,"Overseer is a library for building and running data pipelines in Clojure. It allows for defining workflows as a graph (DAG) of dependent tasks, and handles scheduling, execution, and failure handling among a pool of workers.","clojure, pipeline","data pipeline, clojure",yes,
Squonk,,Commercial,no,Active,,Existing Workflow systems,https://squonk.it/,https://github.com/InformaticsMatters/squonk,,Enterprise,https://www.informaticsmatters.com/,"The Squonk Data
 Manager is replacing our original Computational Notebook product. The 
Data Manager provides a novel, easy to use, web based, data centric 
workflow environment in which scientists can execute scientific 
workflows using open source and commercial tools from multiple sources 
such as RDKit, Chemistry Development Kit (CDK), ChemAxon.   It 
provides a scaleable execution environment where you work securely 
within a project team, collaborating on cheminformatics and 
computational chemistry workflows such as virtual screening and fragment
 screening.   You can use the Squonk Data Manager in our 
evaluation site or we can deploy it to a Kubernetes cluster dedicated 
for you own use, such as on AWS.  ",data managment,Drug Discovery,no,
GC3Pie,,,no,Inactive,,Existing Workflow systems,https://gc3pie.readthedocs.io/en/master/,https://github.com/gc3pie/gc3pie,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=928fe23e04ce69e15d2b6f854b96eabaace91a3e,Academia,,"GC3Pie is a python package for executing computational workflows consisting of tasks with complex inter-dependencies. GC3Pie accomplishes this by defining a run-time task list in which a task can only be executed once all upstream task dependencies have been successfullly completed. In contrast to other workflow managers, GC3Pie accplications are written in python and not a markup language. The advantage is that this makes it trivial to write highly complex workflows. GC3Pies roots are in shared-nothing achitectures (server-less for example) and can be configured to use backends such as batch clusters or clouds.","pipelines, grids, cluster, python",computational workflows,yes,
Fractalide,,,maybe,Inactive,,Existing Workflow systems,,https://github.com/fractalide/fractalide,,Enterprise,https://fractalide.com/,"ractalide is a free and open source service programming platform using dataflow graphs. Graph nodes represent computations, while graph edges represent typed data (may also describe tensors) communicated between them. This flexible architecture can be applied to many different computation problems, initially the focus will be Microservices to be expanded out into the Internet of Things.","reproducible, DAG, dataflow,",reproducible workflows,yes,
TOGGLe,,,no,Inactive,Project URL inactive,Existing Workflow systems,"http://toggle.southgreen.fr/,",,https://www.biorxiv.org/content/10.1101/245480v2,Academia,,"Here, we present the new version of TOGGLe (Toolbox for Generic NGS Analyses),
 a simple and highly flexible framework to easily and quickly generate 
pipelines for large-scale second- and third-generation sequencing 
analyses, including multi-sample and multi-threading support. TOGGLe is a
 workflow manager designed to be as effortless as possible to use for 
biologists, so the focus can remain on the analyses. Pipelines are 
easily customizable and supported analyses are reproducible and 
shareable","workflow, NGS, large-scale, pipelines, workflow manager","genomics, NGS",yes,
Askalon,,,no,Retired (2013),Last update 2013-01-10,Existing Workflow systems,https://askalon.org/,,http://www.infosys.tuwien.ac.at/staff/truong/publications/askalon-cpe.pdf,Academia,,"The goal of ASKALON is to simplify the development and optimization of applications that can harness the power of Cloud computing. The ASKALON project crafts a novel environment based on new innovative tools, services, and methodologies to make scientific application development and optimization for real applications and execution on Cloud environments an everyday practice.",,,yes,
Eclipse ICE ,,The Integrated Computational Environment,,Inactive (2017),,Existing Workflow systems,https://www.eclipse.org/ice/,https://gitlab.eclipse.org/eclipse/ice/ice,,Community,,"The Eclipse Integrated Computational Environment (ICE) is
                                                                        a scientific workbench and workflow environment developed to
                                                                        improve the user experience for computational scientists. ICE
                                                                        makes it possible for developers to deploy rich, graphical,
                                                                        interactive capabilities for their science codes and software, 
                                                                        and integrate many different scientific computing technologies 
                                                                        in one common, cross-platform user environment.",,"define problems, run simulations, analyze putputs, arhiece data",,
SAW,Sandia Analysis Workbench,Sandia Analysis Workbench,no,?,"SAW only available to partners, some parts open source, ",Existing Workflow systems,https://www.sandia.gov/saw,,https://www.sandia.gov/app/uploads/sites/95/2021/08/NAFEMS_2015.pdf,"Enterprise, Government",https://www.sandia.gov/about/,"The Sandia Analysis Workbench (SAW) is a family of software applications
 that boost productivity and quality by making modeling and simulation 
easier while enforcing best practices and supporting ubiquitous V&V.
 Capabilities include workflow management, model building, job 
submission, requirements tracking, and simulation data management. The 
Workbench provides a user-friendly graphical interface to Sierra, CTH, 
DAKOTA, and other important Sandia codes.",,analysis workbench,partially,
dispel4py,,,no,INactive,,Existing Workflow systems,,https://github.com/dispel4py/dispel4py,https://doi.org/10.1177/109434201664976,Academia,,"dispel4py is a free and open-source Python library for describing abstract stream-based workflows for distributed data-intensive applications. It enables users to focus on their scientific methods, avoiding distracting details and retaining flexibility over the computing infrastructure they use. It delivers mappings to diverse computing infrastructures, including cloud technologies, HPC architectures and specialised data-intensive machines, to move seamlessly into production with large-scale data loads. The dispel4py system maps workflows dynamically onto multiple enactment systems, such as MPI, STORM and Multiprocessing, without users having to modify their workflows.","abstract workflows, data-intensive, HPC, odcker",,yes,
Jobber,,,,Inactive (2015),,Existing Workflow systems,https://pypi.org/project/Jobber/0.1.4/,,,,,"Jobber is a program that executes pipelines. It manages job dependencies, restarts them if necessary and logs their status in a database. Jobs are persisted in a database and survive system crashes.",,,,
NeatSeq-Flow,,,no,Active,,Existing Workflow systems,https://neatseq-flow.readthedocs.io/en/latest/,https://github.com/bioinfo-core-BGU/neatseq-flow,https://www.biorxiv.org/content/10.1101/173005v1,Academia,,,"ngs, high throughput, bioinformatic workflow, GUI","NGS; workflow, genomics",yes,
S4M,,,no,Inactive (2019),,Existing Workflow systems,https://bitbucket.org/uqokorn/s4m_base/wiki/Home,https://bitbucket.org/uqokorn/s4m_base/src/master/,,,,"S4M is a modular Linux shell-based framework (or wrapper) for shell-invoked programs, allowing for re-use of common toolchains to enable the creation of repeatable workflows.","linux-shell, toolchain","linux-shell, bioinformatics",yes,
Loom,,,maybe,Inactive (2019),,Existing Workflow systems,https://med.stanford.edu/gbsc/pages/loom.html,https://github.com/StanfordBioinformatics/loom,,Academia,https://med.stanford.edu/gbsc/pages/loom.html,"Loom is a platform-independent tool to create, execute, track, and share workflows.","reproducibility, docker, file hash, workflow, local, google cloud, yaml, python",bionformatics,yes,
Watchdog,,,no,Active,,Existing Workflow systems,,https://github.com/klugem/watchdog,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-018-2107-4,Academia,,XML Schema-based bioinformatics workflow system,"workflow, XML, big data",bioinformatics,yes,
phpflo,,,no,Inactive (2017),,Existing Workflow systems,,https://github.com/phpflo/phpflo,,Community?,,PhpFlo is a simple flow-based programming implementation for PH,,"PHP, flow-based programming",yes,
BASTet,,Berkeley Analysis and Storage Toolkit,yes,Active,,Existing Workflow systems,https://openmsi.nersc.gov/openmsi/client/bastet.html,https://github.com/biorack/BASTet,https://doi.org/10.1109/TVCG.2017.2744479,Academia,,"BASTet is a novel framework for shareable and reproducible data analysis that supports standardized data and analysis interfaces, integrated data storage, data provenance, workflow management, and a broad set of integrated tools. BASTet has been motivated by the critical need to enable MSI researchers to share, reuse, reproduce, validate, interpret, and apply common and new analysis methods.","Reproducibility, data storage, wfms, provenance, OpenMSI, tools, analytics",reproducible data analysis,yes,
Tavaxy,,,no,Retired,"demo instance not reachable, last changes in 05-02-2013",Existing Workflow systems,https://www.tavaxy.org/,,https://doi.org/10.1186/1471-2105-13-77,Academia,,"Tavaxy is a pattern based workflow system for the bioinformatics domain, focusing on genome comparison and sequence analysis. The basic motivation behind developing Tavaxy is to enable the design of workflows composed of Taverna and Galaxy sub-workflows in addition to other workflow nodes within a single environment. This provides an easy solution to run parts of the workflow on local infrastructure and other parts remotely through web-services. Tavaxy uses the concept of workflow patterns, which are workflow language constructs, in order to facilitate the design and execution of workflows and to enable the integration of Taverna and Galaxy workflows.","Interface, workflow patterns, Galaxy, cloud",bionformatics,code can be obtained by E-mail,
Ginflow,,,no,Inactive,,Existing Workflow systems,https://ginflow.inria.fr/,https://bitbucket.org/ginflow/hocl-workflow/src/master/,https://ieeexplore.ieee.org/document/7516089,Academia,,GinFlow is a decentralised adaptive workflow engine.,,workflow engine,yes,
SciApps,,,,Inactive,,Existing Workflow systems,https://www.sciapps.org/,https://github.com/warelab/sciapps,https://doi.org/10.1093/bioinformatics/bty439,Academia,,"SciApps
 is a cloud-based platform for building, executing, & sharing 
scientific applications (Apps) and workflows, powered by CyVerse Data 
Store, Texas Advanced Computing Center, and a federated system at Cold 
Spring Harbor Laboratory.","reproducibility, GUI, workflows, Data Managments","scientific workflows, bioinformatics",yes,
Stoa,,Script Tracking for Observational Astronomy,no,Inactive,"github README: ""still in development""",Existing Workflow systems,,https://github.com/petehague/Stoa,,Personal?,,STOA stands for Script Tracking for Observational Astronomy and is a workflow management system primarily designed for large scale production of interferometry data.,"workflow management, big data",astronomy,yes,
Collective Knowledge,,,yes,Active,,Existing Workflow systems,https://cknowledge.org/,https://github.com/mlcommons/ck,https://arxiv.org/abs/2011.01149,Academia,,"We decided to collaborate with the community and MLCommons
to develop a free, open-source and technology-agnostic platform
that can help everyone reproduce, optimize and compare any novel technology
across any rapidly evolving AI models, software, hardware and data(sets)
from different vendors in an automated way via collaborative challenges
and reproducible experiments.","reproducibility, automation, deployment",reproducible data analysis,yes ,
QosCosGrid,,,,Inactive (2019),now news update since January 2019,Existing Workflow systems,http://www.qoscosgrid.org/trac/qcg,,https://link.springer.com/chapter/10.1007/978-3-642-28267-6_4,Academia,,"The QCG middleware (previously known as QosCosGrid) is an integrated 
system offering advanced job and resource management capabilities to 
deliver to end-users supercomputer-like performance and structure. By 
connecting many distributed computing resources together, QCG offers 
highly efficient mapping, execution and monitoring capabilities for 
variety of applications, such as parameter sweep, workflows, MPI or 
hybrid MPI-OpenMP. Thanks to QCG, large-scale applications, multi-scale 
or complex computing models written in Fortran, C, C++ or Java can be 
automatically distributed over a network of computing resources with 
guaranteed QoS. The middleware provides also a set of unique features, 
such as advance reservation and co-allocation of distributed computing 
resources.","big data, middleware, distributed",,,
HTBAC,High-Throughput Binding Affinity Calculator,High-Throughput Binding Affinity Calculator,no,Inactive (2019),,Existing Workflow systems,https://htbac.readthedocs.io/en/latest/,https://github.com/radical-cybertools/htbac,https://arxiv.org/abs/1801.01174,Academia,,High performance bio-simulation framework for running molecular dynamics simulations locally or on supercomputers. Create a workflow for your specific MD requirements and submit jobs to a cluster of choice,,"molecular dynamics, bioinformatics",yes,
BioWorkbench,,,no,Inactive,,Existing Workflow systems,,https://github.com/mmondelli/bioworkbench,https://arxiv.org/abs/1801.03915,Academia,,"This repository contains a Docker recipe for the construction of 
BioWorkbench, a high-performance framework for managing and analyzing 
bioinformatics experiments.","Docker, bioinformatic workflow",bionformatics,yes,
ENVI Task engine,,,,Inactive,URLs not working,Existing Workflow systems,,,,,,"ENVI Py Engine provides a client Python package, named envipyengine, to 
run ENVI analytics provided by ENVI Desktop.
The Python package provides the ability to query for available tasks, 
retrieve task information, and execute tasks on the desktop.",,,no,
Pypeln,Pypeline,,yes,Active,,Existing Workflow systems,https://cgarciae.github.io/pypeln/,https://github.com/cgarciae/pypeln,,Personal,https://github.com/cgarciae,"Pypeln (pronounced as ""pypeline"") is a simple yet powerful Python library for creating concurrent data pipelines.
Main Features
Simple: Pypeln was designed to solve medium data tasks that require parallelism and concurrency where using frameworks like Spark or Dask feels exaggerated or unnatural.Easy-to-use: Pypeln exposes a familiar functional API compatible with regular Python code.Flexible: Pypeln enables you to build pipelines using Processes, Threads and asyncio.Tasks via the exact same API.Fine-grained Control: Pypeln allows you to have control over the memory and cpu resources used at each stage of your pipelines.","concurrent, data pipeline, python, local","data pipelines, python, medium data",yes,
MPipe,,,no,Inactive (2020),,Existing Workflow systems,http://vmlaker.github.io/mpipe/,https://github.com/vmlaker/mpipe,,Personal,,"A tiny Python module that lets you
easily write multi-stage, multiprocess pipeline algorithms.","Python, multiprocess pipeline, local",data pipeline,yes,
czid-dag,idseq-dag,,,Archived,,Existing Workflow systems,,https://github.com/chanzuckerberg/czid-dag,,Non-Profit,https://chanzuckerberg.com/,,,,,
czid-workflows,,,no,Active,,Existing Workflow systems,https://czid.org/,https://github.com/chanzuckerberg/czid-workflows,,Non-Profit,https://chanzuckerberg.com/,"Portable WDL workflows for CZ ID production pipelines
CZ ID is a hypothesis-free global software platform that helps scientists identify pathogens in metagenomic sequencing
data.",,squencing pathogens,yes,
Piper ,,,,Inactive (2017),,Existing Workflow systems,,https://github.com/NationalGenomicsInfrastructure/piper,,"Academia, National-Research",https://github.com/NationalGenomicsInfrastructure/piper,"A genomics pipeline build on top of the GATK Queue framework. Piper builds on the concept of standardized workflows for different next-generation sequencing applications
    ",,bioinformatics,,
Apache OODT,Apache Object Oriented Data Technology,,yes,Active,,Existing Workflow systems,https://oodt.apache.org/,https://github.com/apache/oodt,,National-Insitutue,https://www.jpl.nasa.gov/,"Apache Object Oriented Data Technology (OODT) is the smart 
way to integrate and archive your processes, your data, and its 
metadata. OODT allows you to:
Generate DataProcess DataManage Your DataDistribute Your DataAnalyze Your Data
Allowing for the integration of data, computation, visualization and other components.
OODT also allows for remote execution of jobs on scalable computational infrastructures so that computational and data-
intensive processing can be integrated into OODT’s data processing pipelines using cloud computing and high-performance
computing environments.",,processing pipelines,yes,
CCTools,JX Workflow,,no,Active,,Existing Workflow systems,https://cctools.readthedocs.io/en/latest/about/,https://github.com/cooperative-computing-lab/cctools,,Academia,http://ccl.cse.nd.edu/,"The Cooperating Computing Tools (CCTools) help you to design
and deploy scalable applications that run on hundreds or thousands
of machines at once.  If you have a large quantity of computational
work to accomplish that would take years to complete on your laptop,
then you have come to the right place.",,science and engineering,yes,
ADIOS,The Adaptable IO System,The Adaptable IO System,yes,Active,,Existing Workflow systems,http://csmd.ornl.gov/adios,https://github.com/ornladios/ADIOS2,https://www.sciencedirect.com/science/article/pii/S2352711019302560,Academia,,"The Adaptable IO System (ADIOS) provides a simple, 
flexible way for scientists to describe the data in their code that may 
need to be written, read, or processed outside of the running 
simulation. By providing an external to the code XML file describing the
 various elements, their types, and how you wish to process them this 
run, the routines in the host code (either Fortran or C) can 
transparently change how they process the data.","XML, data descrription","science, data description",yes,
GenPipes,,,yes,Active,,Existing Workflow systems,https://genap.ca/,https://bitbucket.org/mugqic/genpipes/src/master/,,"Academia, Consortium",https://genap.ca/p/help/team,The Genetics and Genomics Analysis Platform (GenAP) is a computing infrastructure and software environment for life science researchers available since 2015. GenAP aims at facilitating the work of researchers and students by offering out of the box Web applications running on an infrastructure currently leveraging Compute Canada Cloud and HPC resources,"Analysis paltofrm, PAAS, Galacy, workflows, data sharing, collaboration","bioinformatics, genomics",yes,
Argo,,,yes,Active,,Existing Workflow systems,https://argoproj.github.io/,https://github.com/argoproj/argo-workflows,,Enterprise,https://www.intuit.com/,"Open source tools for Kubernetes to run workflows, manage clusters, and do GitOps right.","kubernetes, GitOps,CD, workflows, rollouts, events",kubernetes,yes,
reana,,Reusable Analyses,yes,Active,URL outdated,Existing Workflow systems,https://www.reana.io/,https://github.com/reanahub/reana,https://doi.org/10.1051/epjconf/201921406034,Academia,,"Reproducible research data analysis platform 
REANA is a reusable and reproducible research data
analysis platform. It helps researchers to structure their input data, analysis
code, containerised environments and computational workflows so that the
analysis can be instantiated and run on remote compute clouds.
REANA was born to target the use case of particle physics analyses, but is
applicable to any scientific discipline. The system paves the way towards
reusing and reinterpreting preserved data analyses even several years after the
original publication.","data analysis, flexible, workflow, scalable, container, reusable, ",science,yes,
Cuisine Framework,,,no,Inactive (2005),,Existing Workflow systems,https://www.astron.nl/~renting/cuisine.html,,,,,"A pipeline framework for
the WSRT","python, pipelines",pipeline,?,
Niassa,,,no,Not Found (https://github.com/oicr-gsi/niassa),"URL not found, project not found on github only web page doc",Existing Workflow systems,,https://github.com/morgantaschuk/niassa-docs,,,,,,bioinformatics,yes,
pypeFLOW,,,no,Archived,,Existing Workflow systems,,https://github.com/PacificBiosciences/pypeFLOW,,Enterprise,https://www.pacb.com/,a simple lightweight workflow engine for data analysis scripting,pipeline,bioinformatics,yes,
Tiny Cloud Engine,,,no,Not Found,URL: 403,Existing Workflow systems,http://ka.cb.k.u-tokyo.ac.jp/tce/,,,,,,,,?,
Xbowflow,,,no,Inactive,,Existing Workflow systems,,https://github.com/ChrisSuess/Project-Xbow,,Academia,https://github.com/ChrisSuess/Project-Xbow,"Xbowflow provides a workflow system for use with Xbow clusters. Built on top of Dask Distributed**(https://distributed.readthedocs.io/en/latest/), **Xbowflow distributed the different tasks in your workflow across your Xbow
 cluster in as efficient manner as possible, running jobs in parallel 
where appropriate, and keeping data close to compute. In addition it 
provides resilience (e.g., if a worker node fails, the task is re-run 
elsewhere).","cluster, xbow, workflow",workflow,yes,
AdaptiveMD,,,no,Inactive,,Existing Workflow systems,,https://github.com/markovmodel/adaptivemd,,Academia,,"A Python framework to run adaptive MD simulations using Markov State Model (MSM)
analysis on HPC resources.","hpc, molecular dynamics, python framework","molecular dynamics, bioinformatics",yes,
Meshroom,,,no,Active,,Existing Workflow systems,http://alicevision.org/,https://github.com/alicevision/meshroom,https://doi.org/10.1145/3458305.3478443,Non-Profit,https://alicevision.org/#about,"Meshroom is a free, open-source 3D Reconstruction Software based on the AliceVision Photogrammetric Computer Vision framework.","3d reconstruction, Photogrammetry",3D Reconstruction Software,yes,
LSST Data Management,,,no,Active,,Existing Workflow systems,https://pipelines.lsst.io/v/daily/index.html,https://github.com/lsst/pipe_base,https://arxiv.org/abs/2206.14941,Non-Profit,https://www.lsst.org/,Pipeline infrastructure code for the Rubin Science Pipelines.,"pipeline, astronomy",astronomy,yes,
prefect,,,yes,Active,,Existing Workflow systems,https://docs.prefect.io/latest/,https://github.com/PrefectHQ/prefect,,Enterprise,https://www.prefect.io/about/company/,"Prefect enables you to build and observe resilient data workflows so 
that you can understand, react to, and recover from unexpected changes. 
It's the easiest way to transform any Python function into a unit of 
work that can be observed and orchestrated. Just bring your Python code,
 sprinkle in a few decorators, and go!","Python, data pipeline, data workflow, scheduling, retry, logging, caching, observaibility",data engineering,yes,
Apache SCXML engine,,,no,Inactive (2015),,Existing Workflow systems,https://commons.apache.org/proper/commons-scxml/guide/scxml-documents.html,,,,,"State Chart XML (SCXML) is a general-purpose event-based state
      machine language that can be used in many ways.",,SCXML,yes,
IceProd,,,no,Active,,Existing Workflow systems,,https://github.com/WIPACrepo/iceprod,https://doi.org/10.1016/j.jpdc.2014.08.001,Academia,,"IceProd is a Python framework for distributed management of batch jobs.
It runs as a layer on top of other batch middleware, such as HTCondor,
and can pool together resources from different batch systems.
The primary purpose is to coordinate and administer many large sets of
jobs at once, keeping a history of the entire job lifecycle.","batch jobs, distributed management, ",physics,yes,
AnADAMA2,,,no,Active,,Existing Workflow systems,https://huttenhower.sph.harvard.edu/anadama2,https://github.com/biobakery/anadama2,https://doi.org/10.1093/bioinformatics/btx754,Academia,,"AnADAMA2 is the next generation of AnADAMA (Another Automated Data 
Analysis Management Application). AnADAMA is a tool to create 
reproducible workflows and execute them efficiently. Tasks can be run 
locally or in a grid computing environment to increase efficiency. 
Essential information from all tasks is recorded, using the default 
logger and command line reporters, to ensure reproducibility. A auto-doc
 feature allows for workflows to generate documentation automatically to
 further ensure reproducibility by capturing the latest essential 
workflow information. AnADAMA2 was architected to be modular allowing 
users to customize the application by subclassing the base grid 
meta-schedulers, reporters, and tracked objects (ie files, executables, 
etc).","metaomics, reproducible, workflow, local, grid, parallel",bioinformatics,yes,
Enso,Luna,,yes,Active,"formerly luna, outdated name and URL on github",Existing Workflow systems,https://enso.org/,https://github.com/enso-org/enso,,Enterprise,https://enso.org/,"Turning your data into knowledge is slow and error-prone. You can’t trust tools that don’t embrace best practices and provide quality assurance. Enso redefines the way you can work with your data: it is interactive, provides intelligent assistance, and was designed on a strong mathematical foundation, so you can always trust the results you get.","reproducible, data processing, visual, textual, multi languages, visualization, workflow",data analysis workflow,yes,
passerelle,,,,Archived,,Existing Workflow systems,https://code.google.com/archive/a/eclipselabs.org/p/passerelle,,https://storage.googleapis.com/google-code-archive-downloads/v2/eclipselabs.org/passerelle/TUAAULT04_talk_paper.pdf,Enterprise,https://code.google.com/archive/a/eclipselabs.org/p/passerelle,"Passerelle is a component-based solution assembly suite, developed and distributed by iSencia Belgium since 2002.
It comes with an execution engine, actor development API, reusable actor libraries and model design IDE.",,,,
